id	joke
45	What do you call a female snake. misssssssss 
46	Why does a Moon-rock taste better than an Earth-rock? Because it's a little meteor.
47	"I thought my wife was joking when she said she'd leave me if I didn't stop signing ""I'm A Believer""... Then I saw her face."
48	I’m only familiar with 25 letters in the English language. I don’t know why.
49	What do you call two barracuda fish?  A Pairacuda!
50	What did the father tomato say to the baby tomato whilst on a family walk? Ketchup.
51	Why is Peter Pan always flying? Because he Neverlands.
52	What do you do on a remote island? Try and find the TV island it belongs to.
53	Did you know that protons have mass? I didn't even know they were catholic.
54	Dad I’m hungry’ … ‘Hi hungry I’m dad
55	I was fired from the keyboard factory yesterday.  I wasn't putting in enough shifts.
56	Whoever invented the knock-knock joke should get a no bell prize.
57	"Wife: Honey I’m pregnant.

Me: Well…. what do we do now?

Wife: Well, I guess we should go to a baby doctor.

Me: Hm.. I think I’d be a lot more comfortable going to an adult doctor."
58	Have you heard the story about the magic tractor? It drove down the road and turned into a field.
59	When will the little snake arrive? I don't know but he won't be long...
60	Why was Pavlov's beard so soft?  Because he conditioned it.
61	Do I enjoy making courthouse puns? Guilty
62	Why did the kid throw the clock out the window? He wanted to see time fly!
63	Hear about the new restaurant called Karma? There’s no menu: You get what you deserve.
64	Why couldn't the kid see the pirate movie? Because it was rated arrr!
65	It was so cold yesterday my computer froze. My own fault though, I left too many windows open.
66	Man, I really love my furniture... me and my recliner go way back.
67	"What did the traffic light say to the car as it passed? ""Don't look I'm changing!"""
68	My son is studying to be a surgeon, I just hope he makes the cut.
69	Why did the man run around his bed? Because he was trying to catch up on his sleep!
70	What did one wall say to the other wall? I'll meet you at the corner!
71	Sometimes I tuck my knees into my chest and lean forward.  That’s just how I roll.
72	I once lost a banana at court but then I appealed. 
73	Conjunctivitis.com – now that’s a site for sore eyes.
74	How many South Americans does it take to change a lightbulb? A Brazilian
75	I don't trust stairs. They're always up to something.
76	What do you call two guys hanging out by your window? Kurt & Rod.
77	Why was the robot angry? Because someone kept pressing his buttons!
78	Which is the fastest growing city in the world? Dublin'
79	A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.
80	What do you call a snake who builds houses? A boa constructor!
81	"What is the difference between ignorance and apathy?

I don't know and I don't care."
82	I went to a Foo Fighters Concert once... It was Everlong...
83	Why did the sentence fail the driving test? It never came to a full stop.
84	Some people eat light bulbs. They say it's a nice light snack.
85	What's the difference between a rooster and a crow? A rooster can crow but a crow cannot rooster.
86	I went to the store to pick up eight cans of sprite... when I got home I realized I'd only picked seven up
87	I cut my finger chopping cheese, but I think that I may have grater problems.
88	Yesterday, I accidentally swallowed some food coloring. The doctor says I’m okay, but I feel like I’ve dyed a little inside.
89	When people are sad, I sometimes let them colour in my tattoos. Sometimes all they need is a shoulder to crayon.
90	Last night me and my girlfriend watched three DVDs back to back. Luckily I was the one facing the TV.
91	I got a reversible jacket for Christmas, I can't wait to see how it turns out.
92	What do you get when you cross a pig and a pineapple? A porky pine
93	What did Romans use to cut pizza before the rolling cutter was invented? Lil Caesars
94	"Why did the banana go to the doctor? He was not ""peeling"" well."
95	My pet mouse 'Elvis' died last night. He was caught in a trap..
96	Never take advice from electrons. They are always negative.
97	Why are oranges the smartest fruit? Because they are made to concentrate. 
98	A girl once asked me what my heart desired, apparently blood, oxygen and neural messages were all wrong answers
99	Why is it always hot in the corner of a room? Because a corner is 90 degrees.
100	What did the beaver say to the tree? It's been nice gnawing you.
101	How do you fix a damaged jack-o-lantern? You use a pumpkin patch.
102	Why do cows not have toes? They lactose!
103	What did the late tomato say to the early tomato? I’ll ketch up
104	I have kleptomania, but when it gets bad, I take something for it.
105	I used to be addicted to soap, but I'm clean now.
106	When is a door not a door? When it's ajar.
107	I made a belt out of watches once... It was a waist of time.
108	"Why did Mozart kill all his chickens?
Because when he asked them who the best composer was, they'd all say ""Bach bach bach!""
"
109	This furniture store keeps emailing me, all I wanted was one night stand!
110	How do you find Will Smith in the snow?  Look for fresh prints.
111	My sister bet me $15 that I couldn't build a car out of spaghetti. You should have seen the look on her face as I drove pasta.
112	My boss told me to have a good day... so I went home.
113	I just read a book about Stockholm syndrome. It was pretty bad at first, but by the end I liked it.
114	Why do trees seem suspicious on sunny days? Dunno, they're just a bit shady.
115	If at first you don't succeed, sky diving is not for you!
116	I'd like to start a diet, but I've got too much on my plate right now.
117	What did the drummer name her twin daughters? Anna One, Anna Two...
118	What kind of music do mummy's like? Rap
119	I remember when I was a kid, I opened my fridge and noticed one of my vegetables were crying. I guess I have some emotional cabbage.
120	"What's large, grey, and doesn't matter?
An irrelephant.
"
121	Frankenstein enters a bodybuilding competition and finds he has seriously misunderstood the objective.
122	A book just fell on my head. I only have my shelf to blame.
123	What did the dog say to the two trees? Bark bark.
124	I've got a joke about vegetables for you... but it's a bit corny.
125	If a child refuses to sleep during nap time, are they guilty of resisting a rest?
126	Why can't your nose be 12 inches long? Because then it'd be a foot!
127	Have you ever heard of a music group called Cellophane? They mostly wrap.
128	What do you call a boy who stopped digging holes? Douglas.
129	What did the mountain climber name his son? Cliff.
130	Why should you never trust a pig with a secret? Because it's bound to squeal.
131	Why are mummys scared of vacation? They're afraid to unwind.
132	Whiteboards ... are remarkable.
133	What kind of dinosaur loves to sleep? A stega-snore-us.
134	What has three letters and starts with gas? A Car.
135	What’s Forest Gump’s Facebook password? 1forest1
136	What kind of tree fits in your hand? A palm tree!
137	Whenever the cashier at the grocery store asks my dad if he would like the milk in a bag he replies, ‘No, just leave it in the carton!’
138	I used to be addicted to the hokey pokey, but I turned myself around.
139	How many tickles does it take to tickle an octopus? Ten-tickles!
140	"Me: If humans lose the ability to hear high frequency volumes as they get older, can my 4 week old son hear a dog whistle?

Doctor: No, humans can never hear that high of a frequency no matter what age they are.

Me: Trick question... dogs can't whistle."
141	What musical instrument is found in the bathroom? A tuba toothpaste.
142	I can't take my dog to the pond anymore because the ducks keep attacking him. That's what I get for buying a pure bread dog.
143	My boss told me to attach two pieces of wood together... I totally nailed it!
144	"What was the pumpkin’s favorite sport?

Squash."
145	Recent survey revealed 6 out of 7 dwarf's aren't happy.
146	What do you call corn that joins the army? Kernel.
147	I've been trying to come up with a dad joke about momentum . . . but I just can't seem to get it going.
148	‘Put the cat out’ … ‘I didn’t realize it was on fire
149	Why don't skeletons ride roller coasters? They don't have the stomach for it.
150	Is there a hole in your shoe? No… Then how’d you get your foot in it?
151	Every night at 11:11, I make a wish that someone will come fix my broken clock.
152	Two muffins were sitting in an oven, and the first looks over to the second, and says, “man, it’s really hot in here”. The second looks over at the first with a surprised look, and answers, “WHOA, a talking muffin!”
153	"What's the difference between a guitar and a fish? You can tune a guitar but you can't ""tuna"" fish!"
154	Did you hear that the police have a warrant out on a midget psychic ripping people off? It reads “Small medium at large.”
155	Why don't sharks eat clowns?  Because they taste funny.
156	Just read a few facts about frogs. They were ribbiting.
157	Two satellites decided to get married. The wedding wasn't much, but the reception was incredible.
158	What do you call a fish with no eyes? A fsh.
159	What do you get if you put a duck in a cement mixer? Quacks in the pavement.
160	They tried to make a diamond shaped like a duck. It quacked under the pressure.
161	Where’s the bin? Dad: I haven’t been anywhere!
162	My wife said I was immature. So I told her to get out of my fort.
163	Why did the knife dress up in a suit? Because it wanted to look sharp
164	How do you make a water bed more bouncy. You use Spring Water
165	I considered building the patio by myself. But I didn't have the stones.
166	In my career as a lumberjack I cut down exactly 52,487 trees. I know because I kept a log.
167	Why do bears have hairy coats? Fur protection.
168	"What do you get when you cross a bee and a sheep? A bah-humbug.
"
169	What did one snowman say to the other snow man? Do you smell carrot?
170	"""Dad, do you think it's going to snow this winter?"" ""I dont know, its all up in the air"""
171	Why do bees hum? Because they don't know the words.
172	What do you call a troublesome Canadian high schooler? A poutine.
173	A magician was driving down the street and then he turned into a driveway.
174	Don't trust atoms. They make up everything.
175	If you walk into a forest and cut down a tree, but the tree doesn't understand why you cut it down, do you think it's stumped?
176	Where do bees go to the bathroom?  The BP station.
177	"What is the best way to carve?
Whittle by whittle."
178	What's a ninja's favorite type of shoes? Sneakers!
179	Why did the tree go to the dentist? It needed a root canal.
180	It was raining cats and dogs the other day. I almost stepped in a poodle.
181	Why do bananas have to put on sunscreen before they go to the beach? Because they might peel!
182	What do you call a bee that lives in America? A USB.
183	I was wondering why the frisbee was getting bigger, then it hit me.
184	A farmer had 297 cows, when he rounded them up, he found he had 300
185	What's the difference between a hippo and a zippo? One is really heavy, the other is a little lighter.
186	I’ve got this disease where I can’t stop making airport puns. The doctor says it terminal.
187	Somebody stole my Microsoft Office and they're going to pay - you have my Word.
188	What concert costs only 45 cents? 50 cent featuring Nickelback.
189	I couldn't figure out how the seat belt worked. Then it just clicked.
190	"What did the green grape say to the purple grape?
BREATH!!"
191	What do you call a dad that has fallen through the ice? A Popsicle.
192	"Two parrots are sitting on a perch. One turns to the other and asks, ""do you smell fish?"""
193	Bad at golf? Join the club.
194	I had a pair of racing snails. I removed their shells to make them more aerodynamic, but they became sluggish.
195	What do you call a pile of cats?  A Meowtain.
196	How do hens stay fit? They always egg-cercise!
197	Can a kangaroo jump higher than the Empire State Building? Of course. The Empire State Building can't jump.
198	What do you give a sick lemon? Lemonaid.
199	What do you call an old snowman? Water.
200	I tried to milk a cow today, but was unsuccessful. Udder failure.
201	I just got fired from a florist, apparently I took too many leaves.
202	Why don’t skeletons ever go trick or treating? Because they have nobody to go with.
203	What does a female snake use for support? A co-Bra!
204	"""Dad, I'm cold.""
""Go stand in the corner, I hear it's 90 degrees."""
205	Child: Dad, make me a sandwich. Dad: Poof! You're a sandwich.
206	which flower is most fierce? Dandelion
207	Why are graveyards so noisy? Because of all the coffin.
208	What kind of bagel can fly? A plain bagel.
209	How many apples grow on a tree? All of them!
210	What do you call a careful wolf? Aware wolf.
211	I was just looking at my ceiling. Not sure if it’s the best ceiling in the world, but it’s definitely up there.
212	Why do valley girls hang out in odd numbered groups? Because they can't even.
213	“My Dog has no nose.” “How does he smell?” “Awful”
214	What do you call a cow with no legs? Ground beef.
215	Why are snake races so exciting? They're always neck and neck.
216	Why did the half blind man fall in the well? Because he couldn't see that well!
217	As I suspected, someone has been adding soil to my garden. The plot thickens.
218	What do bees do after they are married? They go on a honeymoon.
219	If I could name myself after any Egyptian god, I'd be Set.
220	Why doesn't the Chimney-Sweep call out sick from work? Because he's used to working with a flue.
221	It’s hard to explain puns to kleptomaniacs, because they take everything literally.
222	It's difficult to say what my wife does, she sells sea shells by the sea shore.
223	Why did Dracula lie in the wrong coffin? He made a grave mistake.
224	What did one plate say to the other plate? Dinner is on me!
225	what do you call a dog that can do magic tricks? a labracadabrador
226	"Doctor: Do you want to hear the good news or the bad news?
Patient: Good news please.
Doctor: we're naming a disease after you."
227	Atheism is a non-prophet organisation.
228	I tried to write a chemistry joke, but could never get a reaction.
229	I gave my friend 10 puns hoping that one of them would make him laugh. Sadly, no pun in ten did.
230	What do computers and air conditioners have in common? They both become useless when you open windows.
231	"What do you call a monkey in a mine field? A babooooom!
"
232	Scientists finally did a study on forks. It's about tine!
233	I cut my finger cutting cheese. I know it may be a cheesy story but I feel grate now.
234	How do you steal a coat? You jacket.
235	"Why don't you find hippopotamuses hiding in trees?
They're really good at it."
236	what happens when you cross a sheep with a kangaroo ? A woolly jumper!
237	I’m reading a book on the history of glue – can’t put it down.
238	Want to hear a joke about construction? Nah, I'm still working on it.
239	My friend told me that pepper is the best seasoning for a roast, but I took it with a grain of salt.
240	Just watched a documentary about beavers… It was the best damn program I’ve ever seen.
241	Why do choirs keep buckets handy? So they can carry their tune
242	Did you hear about the kidnapping at school? It's ok, he woke up.
243	I asked my date to go to the gym the other day. They never showed up. That's when I knew we wouldn't work out.
244	You will never guess what Elsa did to the balloon. She let it go.
245	Did you hear about the two thieves who stole a calendar? They each got six months.
246	Waking up this morning was an eye-opening experience.
247	Why can't eggs have love? They will break up too soon.
248	You can't run through a camp site. You can only ran, because it's past tents.
249	They're making a movie about clocks. It's about time
250	I’ve just been reading a book about anti-gravity, it’s impossible to put down!
251	Archaeology really is a career in ruins.
252	Have you ever seen fruit preserves being made? It's jarring.
253	I was going to get a brain transplant, but I changed my mind
254	Have you heard about the owl sanctuary job opening? It’s all night shifts but they’re all a hoot over there.
255	I boiled a funny bone last night and had a laughing stock
256	"Why can't you use ""Beef stew"" as a password? Because it's not stroganoff."
257	Animal Fact #25: Most bobcats are not named bob.
258	What did the piece of bread say to the knife? Butter me up.
259	Why couldn't the lifeguard save the hippie? He was too far out, man.
260	They say Dodger Stadium can hold up to fifty-six thousand people, but that is just a ballpark figure.
261	"Some people say that I never got over my obsession with Phil Collins.
But take a look at me now."
262	Why did the girl smear peanut butter on the road? To go with the traffic jam.
263	It takes guts to be an organ donor.
264	The rotation of earth really makes my day.
265	How much does a hipster weigh? An instagram.
266	A woman is on trial for beating her husband to death with his guitar collection. Judge says, ‘First offender?’ She says, ‘No, first a Gibson! Then a Fender!’
267	"I saw an ad in a shop window, ""Television for sale, $1, volume stuck on full"", I thought, ""I can't turn that down""."
268	What kind of dog lives in a particle accelerator? A Fermilabrador Retriever.
269	I always wanted to look into why I procrastinate, but I keep putting it off. 
270	What's blue and not very heavy?  Light blue.
271	"Guy told me today he did not know what cloning is. I told him, ""that makes 2 of us."""
272	I was so proud when I finished the puzzle in six months, when on the side it said three to four years.
273	Where did you learn to make ice cream? Sunday school.
274	Coffee has a tough time at my house, every morning it gets mugged.
275	A quick shoutout to all of the sidewalks out there... Thanks for keeping me off the streets.
276	Where does Napoleon keep his armies? In his sleevies.
277	What's the difference between roast beef and pea soup. Anyone can roast beef, but nobody can pee soup.
278	Leather is great for sneaking around because it's made of hide.
279	What do you get if you cross a turkey with a ghost? A poultry-geist!
280	People are making apocalypse jokes like there’s no tomorrow.
281	What is the tallest building in the world? The library – it’s got the most stories!
282	What kind of magic do cows believe in? MOODOO.
283	What’s the longest word in the dictionary? Smiles. Because there’s a mile between the two S’s.
284	Why don't eggs tell jokes? They'd crack each other up
285	I just broke my guitar. It's okay, I won't fret
286	It's only a murder of crows if there's probable caws.
287	How many kids with ADD does it take to change a lightbulb? Let's go ride bikes!
288	Where do hamburgers go to dance? The meat-ball.
289	I invented a new word! Plagiarism!
290	Did you know that ghosts call their true love their ghoul-friend?
291	What do you call a cow with two legs? Lean beef.
292	What did the big flower say to the littler flower? Hi, bud!
293	" I never wanted to believe that my Dad was stealing from his job as a road worker. But when I got home, all the signs were there.

"
294	"Why do pumpkins sit on people’s porches?

They have no hands to knock on the door."
295	Who is the coolest Doctor in the hospital? The hip Doctor!
296	Why was ten scared of seven? Because seven ate nine.
297	What do you get when you cross a rabbit with a water hose? Hare spray.
298	I applied to be a doorman but didn't get the job due to lack of experience. That surprised me, I thought it was an entry level position.
299	I knew a guy who collected candy canes, they were all in mint condition
300	"A boy dug three holes in the yard. When his mother saw, she exclaimed: ""well, well, well"""
301	Why do nurses carry around red crayons? Sometimes they need to draw blood.
302	Why was the shirt happy to hang around the tank top? Because it was armless
303	Why does a chicken coop only have two doors? Because if it had four doors it would be a chicken sedan.
304	"""I'll call you later."" Don't call me later, call me Dad."
305	Why did the teddy bear say “no” to dessert? Because she was stuffed.
306	I don't trust sushi, there's something fishy about it.
307	New atoms frequently lose electrons when they fail to keep an ion them.
308	Did you hear the one about the giant pickle?  He was kind of a big dill.
309	Breaking news! Energizer Bunny arrested – charged with battery.
310	How many bones are in the human hand? A handful of them.
311	A red and a blue ship have just collided in the Caribbean. Apparently the survivors are marooned.
312	I've just written a song about a tortilla. Well, it is more of a rap really.
313	Can February march? No, but April may.
314	So a duck walks into a pharmacy and says “Give me some chap-stick… and put it on my bill”
315	Egyptians claimed to invent the guitar, but they were such lyres.﻿
316	Toasters were the first form of pop-up notifications.
317	What is a witch's favorite subject in school? Spelling!
318	What do you call a crowd of chess players bragging about their wins in a hotel lobby? Chess nuts boasting in an open foyer.
319	Which side of the chicken has more feathers? The outside.
320	"Remember, the best angle to approach a problem from is the ""try"" angle."
321	Why are fish easy to weigh? Because they have their own scales.
322	What did the scarf say to the hat? You go on ahead, I am going to hang around a bit longer.
323	Did you hear about the scientist who was lab partners with a pot of boiling water? He had a very esteemed colleague.
324	This morning I was wondering where the sun was, but then it dawned on me.
325	Writing with a broken pencil is pointless.
326	"What did the sea say to the sand? ""We have to stop meeting like this."""
327	Why is it so windy inside an arena? All those fans.
328	"A panda walks into a bar and says to the bartender “I’ll have a Scotch and . . . . . . . . . . . . . . Coke thank you”. 

“Sure thing” the bartender replies and asks “but what’s with the big pause?” 

The panda holds up his hands and says “I was born with them”"
329	I've started telling everyone about the benefits of eating dried grapes. It's all about raisin awareness.
330	“Doctor, I’ve broken my arm in several places” Doctor “Well don’t go to those places.”
331	"Where was the Declaration of Independence signed?

At the bottom! "
332	What’s the difference between an African elephant and an Indian elephant? About 5000 miles.
333	Two peanuts were walking down the street. One was a salted
334	Don’t interrupt someone working intently on a puzzle. Chances are, you’ll hear some crosswords.
335	Today a man knocked on my door and asked for a small donation towards the local swimming pool. I gave him a glass of water.
336	What did the Zen Buddist say to the hotdog vendor? Make me one with everything.
337	Why did the clown have neck pain? - Because he slept funny
338	What did the digital clock say to the grandfather clock? Look, no hands!
339	"A weasel walks into a bar. The bartender says, ""Wow, I've never served a weasel before. What can I get for you?""
""Pop,"" goes the weasel."
340	How was the snow globe feeling after the storm? A little shaken.
341	Did you hear the one about the guy with the broken hearing aid? Neither did he.
342	Did you hear about the campsite that got visited by Bigfoot? It got in tents.
343	I saw a documentary on TV last night about how they put ships together.  It was rivetting.
344	What did the Red light say to the Green light? Don't look at me I'm changing!
345	What did the ocean say to the beach? Thanks for all the sediment.
346	What did the left eye say to the right eye? Between us, something smells!
347	What do you call a fly without wings? A walk.
348	Why did the melons plan a big wedding? Because they cantaloupe!
349	"Yesterday I confused the words ""jacuzzi"" and ""yakuza"". Now I'm in hot water with the Japanese mafia."
350	"What is the least spoken language in the world?
Sign Language"
351	What do birds give out on Halloween? Tweets.
352	I used to think I was indecisive, but now I'm not sure.
353	Velcro… What a rip-off.
354	Have you heard the rumor going around about butter? Never mind, I shouldn't spread it.
355	Every morning when I go out, I get hit by bicycle. Every morning!  It's a vicious cycle.
356	What happens to a frog's car when it breaks down? It gets toad.
357	"I fear for the calendar, its days are numbered.
"
358	I'm glad I know sign language, it's pretty handy.
359	The other day, my wife asked me to pass her lipstick but I accidentally passed her a glue stick. She still isn't talking to me.
360	What do you get when you cross a chicken with a skunk? A fowl smell!
361	Where do you take someone who’s been injured in a peek-a-boo accident? To the I.C.U.
362	As I get older, I think of all the people I lost along the way. Maybe a career as a tour guide wasn't such a good idea.
363	How many hipsters does it take to change a lightbulb? Oh, it's a really obscure number. You've probably never heard of it.
364	Where do sheep go to get their hair cut? The baa-baa shop.
365	Our wedding was so beautiful, even the cake was in tiers.
366	Why did the miner get fired from his job? He took it for granite...
367	"What did the hat say to the scarf?
You can hang around. I'll just go on ahead.
"
368	"Where do cats write notes?
Scratch Paper!"
369	Why is the new Kindle screen textured to look like paper? So you feel write at home.
370	When my wife told me to stop impersonating a flamingo, I had to put my foot down.
371	No matter how kind you are, German children are kinder.
372	What’s the advantage of living in Switzerland? Well, the flag is a big plus.
373	When I left school, I passed every one of my exams with the exception of Greek Mythology. It always was my achilles elbow
374	Why did the cookie cry? It was feeling crumby.
375	"What did Yoda say when he saw himself in 4K? ""HDMI"""
376	How do you make a 'one' disappear? You add a 'g' and it's 'gone'
377	Me and my mates are in a band called Duvet. We're a cover band.
378	Where do you learn to make banana splits? At sundae school.
379	Nurse: Doctor, there's a patient that says he's invisible. Doctor: Well, tell him I can't see him right now!
380	What was a more important invention than the first telephone? The second one.
381	What do you get when you cross a snowman with a vampire? Frostbite.
382	What do you do when your bunny gets wet? You get your hare dryer.
383	Did you know crocodiles could grow up to 15 feet? But most just have 4.
384	There are two types of people in this world, those who can extrapolate from incomplete data...
385	Why did the fireman wear red, white, and blue suspenders? To hold his pants up.
386	In the news a courtroom artist was arrested today, I'm not surprised, he always seemed sketchy.
387	I wanted to be a tailor but I didn't suit the job
388	What do you call someone with no nose? Nobody knows.
389	What do you call a girl between two posts? Annette.
390	What do you call a criminal going down the stairs? Condescending
391	What do you call a fat psychic? A four-chin teller.
392	I used to be a banker, but I lost interest.
393	Why can't a bicycle stand on its own? It's two-tired.
394	What does a pirate pay for his corn? A buccaneer!
395	Astronomers got tired watching the moon go around the earth for 24 hours. They decided to call it a day.
396	My dog used to chase people on a bike a lot. It got so bad I had to take his bike away.
397	I ate a clock yesterday. It was so time consuming.
398	Two dyslexics walk into a bra.
399	I been watching a channel on TV that is strictly just about origami — of course it is paper-view.
400	Milk is also the fastest liquid on earth – its pasteurized before you even see it
401	Is the pool safe for diving? It deep ends.
402	Why do scuba divers fall backwards into the water? Because if they fell forwards they’d still be in the boat.
403	My wife told me to rub the herbs on the meat for better flavor. That's sage advice.
404	A man was caught stealing in a supermarket today while balanced on the shoulders of a couple of vampires. He was charged with shoplifting on two counts. 
405	Ben & Jerry's really need to improve their operation. The only way to get there is down a rocky road.
406	How are false teeth like stars? They come out at night!
407	What time did the man go to the dentist? Tooth hurt-y.
408	I went to the zoo yesterday and saw a baguette in a cage. It was bread in captivity.
409	Did you hear about the cheese factory that exploded in France? There was nothing left but de Brie.
410	How does a penguin build it’s house? Igloos it together.
411	What is this movie about? It is about 2 hours long.
412	Why are pirates called pirates? Because they arrr!
413	Where does Fonzie like to go for lunch? Chick-Fil-Eyyyyyyyy.
414	How does a dyslexic poet write? Inverse.
415	Don't tell secrets in corn fields. Too many ears around.
416	What did the pirate say on his 80th birthday? Aye Matey!
417	Why did the A go to the bathroom and come out as an E? Because he had a vowel movement.
418	Yesterday a clown held a door open for me. I thought it was a nice jester.
419	Why did the opera singer go sailing? They wanted to hit the high Cs.
420	Bought a new jacket suit the other day and it burst into flames. Well, it was a blazer
421	Whats a penguins favorite relative? Aunt Arctica.
422	"Never Trust Someone With Graph Paper...

They're always plotting something."
423	What do you call an elephant that doesn’t matter? An irrelephant.
424	What do you call a group of disorganized cats? A cat-tastrophe.
425	What is bread's favorite number?  Leaven.
426	Why can’t you hear a pterodactyl go to the bathroom? The p is silent.
427	How do you know if there’s an elephant under your bed? Your head hits the ceiling!
428	How do you teach a kid to climb stairs? There is a step by step guide.
429	Where do owls go to buy their baby clothes? The owlet malls.
430	Why does Norway have barcodes on their battleships? So when they get back to port, they can Scandinavian.
431	"What's the worst part about being a cross-eyed teacher?

They can't control their pupils."
432	What do you call a fashionable lawn statue with an excellent sense of rhythmn? A metro-gnome
433	Someone broke into my house last night and stole my limbo trophy. How low can you go?
434	Why did the coffee file a police report? It got mugged.
435	Mountains aren't just funny, they are hill areas
436	I was going to learn how to juggle, but I didn't have the balls.
437	The Swiss must've been pretty confident in their chances of victory if they included a corkscrew in their army knife.
438	Why was the strawberry sad? Its parents were in a jam.
439	I wear a stethoscope so that in a medical emergency I can teach people a valuable lesson about assumptions.
440	Why are ghosts bad liars? Because you can see right through them!
441	Every machine in the coin factory broke down all of a sudden without explanation. It just doesn’t make any cents.
442	Why does it take longer to get from 1st to 2nd base, than it does to get from 2nd to 3rd base? Because there’s a Shortstop in between!
443	"What do you do when you see a space man?
Park your car, man."
444	If you want a job in the moisturizer industry, the best advice I can give is to apply daily.
445	Where do you take someone who has been injured in a Peek-a-boo accident? To the I.C.U.
446	When you have a bladder infection, urine trouble.
447	How do you make Lady Gaga cry? Poker face. 
448	What do you call a group of killer whales playing instruments? An Orca-stra.
449	I was in an 80's band called the prevention. We were better than the cure.
450	What did Michael Jackson name his denim store?    Billy Jeans!
451	People saying 'boo! to their friends has risen by 85% in the last year.... That's a frightening statistic.
452	Geology rocks, but Geography is where it's at!
453	Why does Han Solo like gum? It's chewy!
454	"I was at the library and asked if they have any books on ""paranoia"", the librarian replied, ""yes, they are right behind you"""
455	Have you heard of the band 1023MB? They haven't got a gig yet.
456	The urge to sing the Lion King song is just a whim away.
457	What happens when you anger a brain surgeon? They will give you a piece of your mind.
458	I needed a password eight characters long so I picked Snow White and the Seven Dwarfs.
459	"I used to work at a stationery store.  But, I didn't feel like I was going anywhere.

So, I got a job at a travel agency.  Now, I know I'll be going places."
460	I used to work in a shoe recycling shop. It was sole destroying.
461	I used to hate facial hair, but then it grew on me.
462	R.I.P. boiled water. You will be mist.
463	"Q: What did the spaghetti say to the other spaghetti?
A: Pasta la vista, baby!"
464	"The first time I got a universal remote control I thought to myself, ""This changes everything"""
465	Why is the ocean always blue? Because the shore never waves back.
466	Why did the feline fail the lie detector test? Because he be lion.
467	Why did the man put his money in the freezer? He wanted cold hard cash!
468	I decided to sell my Hoover… well it was just collecting dust.
469	Why do ducks make great detectives? They always quack the case.
470	What does a clock do when it's hungry? It goes back four seconds!
471	What do I look like? A JOKE MACHINE!?
472	I bought shoes from a drug dealer once. I don't know what he laced them with, but I was tripping all day.
473	What is a tornado's favorite game to play? Twister!
474	You know that cemetery up the road? People are dying to get in there.
475	Pie is $2.50 in Jamaica and $3.00 in The Bahamas. These are the pie-rates of the Caribbean.
476	What do you call a fish wearing a bowtie? Sofishticated.
477	Did you hear about the Mexican train killer? He had loco motives
478	Can I watch the TV? Dad: Yes, but don’t turn it on.
479	What is worse then finding a worm in your Apple? Finding half a worm in your Apple.
480	What do vegetarian zombies eat? Grrrrrainnnnnssss.
481	"""I'm sorry."" ""Hi sorry, I'm dad"""
